school_name,rank_detail_url,school_rating,school_rank,city,school_group,school_type,school_id
Acadia,/school/ab/elementary/9300,5.9,456/848,Calgary,elementary,Public,66
Al-Amal Academy,/school/ab/elementary/2374,5.8,473/848,Calgary,elementary,Public,
Alex Ferguson,/school/ab/elementary/9101,7.0,251/848,Calgary,elementary,Public,7
Alex Munro,/school/ab/elementary/9261,2.7,807/848,Calgary,elementary,Public,58
Almadina,/school/ab/elementary/1725,6.4,355/848,Calgary,elementary,Charter,
Altadore,/school/ab/elementary/9109,7.8,122/848,Calgary,elementary,Public,11
Andrew Sibbald,/school/ab/elementary/9336,7.8,122/848,Calgary,elementary,Public,81
Annie Foote,/school/ab/elementary/9377,5.3,577/848,Calgary,elementary,Public,109
Apostles of Jesus,/school/ab/elementary/2155,6.0,433/848,Calgary,elementary,Separate,
Ascension of Our Lord,/school/ab/elementary/333,8.6,47/848,Calgary,elementary,Separate,
BCS@Home,/school/ab/elementary/2286,7.2,215/848,Calgary,elementary,Private,
Battalion Park,/school/ab/elementary/537,6.7,299/848,Calgary,elementary,Public,191
Bearspaw,/school/ab/elementary/1030,8.1,83/848,Calgary,elementary,Public,
Bearspaw Christian,/school/ab/elementary/9927,8.9,28/848,Calgary,elementary,Private,
Bearspaw Christian,/school/ab/secondary/9927,9.1,11/253,Calgary,secondary,Private,
Beddington Heights,/school/ab/elementary/9372,5.3,577/848,Calgary,elementary,Public,104
Belfast,/school/ab/elementary/9203,4.9,635/848,Calgary,elementary,Public,27
Belvedere Parkway,/school/ab/elementary/9110,6.3,377/848,Calgary,elementary,Public,12
Bishop Carroll,/school/ab/secondary/8905,8.0,33/253,Calgary,secondary,Separate,
Bishop Grandin,/school/ab/secondary/8901,6.1,122/253,Calgary,secondary,Separate,
Bishop McNally,/school/ab/secondary/8907,6.2,114/253,Calgary,secondary,Separate,
Bishop O'Byrne,/school/ab/secondary/581,6.7,78/253,Calgary,secondary,Separate,
Blessed Damien,/school/ab/elementary/8550,5.3,577/848,Calgary,elementary,Separate,
Blessed Kateri Tekakwitha,/school/ab/elementary/8552,4.5,682/848,Calgary,elementary,Separate,
Blessed Marie-Rose,/school/ab/elementary/2195,7.1,233/848,Calgary,elementary,Separate,
Bowcroft,/school/ab/elementary/9111,4.3,706/848,Calgary,elementary,Public,13
Bowness,/school/ab/secondary/9847,6.0,129/253,Calgary,secondary,Public,177
Braeside,/school/ab/elementary/9305,4.8,650/848,Calgary,elementary,Public,67
Briar Hill,/school/ab/elementary/9205,8.2,75/848,Calgary,elementary,Public,29
Bridlewood,/school/ab/elementary/1498,6.9,268/848,Calgary,elementary,Public,215
Buchanan,/school/ab/elementary/9207,1.9,828/848,Calgary,elementary,Public,30
Calgary Academy,/school/ab/secondary/9908,5.4,160/253,Calgary,secondary,Private,
Calgary Academy Collegiate,/school/ab/elementary/1015,6.5,343/848,Calgary,elementary,Private,
Calgary Academy Collegiate,/school/ab/secondary/1015,8.8,15/253,Calgary,secondary,Private,
Calgary Arts,/school/ab/elementary/1126,4.0,735/848,Calgary,elementary,Charter,
Calgary Christian,/school/ab/elementary/9903,8.7,41/848,Calgary,elementary,Public,
Calgary Christian,/school/ab/secondary/9978,7.8,38/253,Calgary,secondary,Public,
