,id,city,community,latitude,longitude,link,type,price,beds,sq_feet,baths,cats,dogs,has_den,last_update,is_active,activation_date
0,364583,Calgary,Abbeydale,51.061662,-113.933281,/ab/calgary/rentals/duplex/3-bedrooms/abbeydale/non-smoking/364583,Duplex,2300,3,1100,1.5,False,False,False,2024-05-07 10:48:27.080461,True,2024-05-07 10:48:27.201137
1,567569,Calgary,Abbeydale,51.0633366,-113.9249958,/ab/calgary/rentals/basement/2-bedrooms/abbeydale/non-smoking/567569,Basement,1550,2,900,1.0,False,False,False,2024-05-07 10:48:27.080461,True,2024-05-07 10:48:27.201137
2,490033,Calgary,Abbeydale,51.0620384,-113.9265959,/ab/calgary/rentals/main-floor/3-bedrooms/abbeydale/pet-friendly/490033,Main Floor,2100,3,1150,1.5,True,True,False,2024-05-07 10:48:27.080461,True,2024-05-07 10:48:27.201137
3,89806,Calgary,Abbeydale,51.0600378,-113.9326288,/ab/calgary/rentals/basement/3-bedrooms/abbeydale/pet-friendly/89806,Basement,1650,3,1000,1.0,True,True,False,2024-05-07 10:48:27.080461,True,2024-05-07 10:48:27.201137
4,535964,Calgary,Abbeydale,51.086565,-114.128886,/ab/calgary/rentals/apartment/1-bedroom/abbeydale/non-smoking/535964,Apartment,1800,1,,1.0,False,False,False,2024-05-07 10:48:27.080461,True,2024-05-07 10:48:27.201137
5,564359,Calgary,Abbeydale,51.053586,-113.9340353,/ab/calgary/rentals/basement/2-bedrooms/abbeydale/pet-friendly/564359,Basement,1550,2,1000,1.0,True,False,False,2024-05-07 10:48:27.080461,True,2024-05-07 10:48:27.201137
6,25581,Calgary,Abbeydale,51.05664,-113.92869,/ab/calgary/rentals/main-floor/2-bedrooms/abbeydale/non-smoking/25581,Main Floor,1650,2,,1.0,False,False,False,2024-05-07 10:48:27.080461,True,2024-05-07 10:48:27.201137
7,431115,Calgary,Abbeydale,51.0593083,-113.9333772,/ab/calgary/rentals/townhouse/2-bedrooms/abbeydale/furnished/431115,Townhouse,2000,2,1000,2.0,False,False,False,2024-05-07 10:48:27.080461,True,2024-05-07 10:48:27.201137
8,528429,Calgary,Abbeydale,51.0570784,-113.9259706,/ab/calgary/rentals/basement/2-bedrooms/abbeydale/pet-friendly/528429,Basement,1550,2,975,1.0,True,False,False,2024-05-07 10:48:27.080461,True,2024-05-07 10:48:27.201137
9,527241,Calgary,Abbeydale,51.0600722,-113.9237002,/ab/calgary/rentals/main-floor/3-bedrooms/abbeydale/non-smoking/527241,Main Floor,2350,3,964,1.0,False,False,False,2024-05-07 10:48:27.080461,True,2024-05-07 10:48:27.201137
10,529082,Calgary,Abbeydale,51.0600722,-113.9237002,/ab/calgary/rentals/basement/2-bedrooms/abbeydale/non-smoking/529082,Basement,1450,2,964,1.0,False,False,False,2024-05-07 10:48:27.080461,True,2024-05-07 10:48:27.201137
11,510047,Calgary,Acadia,50.9668952,-114.0671346,/ab/calgary/rentals/apartment/2-bedrooms/acadia/pet-friendly/510047,Apartment,2015,2,890,1.0,True,True,False,2024-05-07 10:48:27.080461,True,2024-05-07 10:48:27.201137
12,477768,Calgary,Acadia,50.972184,-114.068623,/ab/calgary/rentals/apartment/1-bedroom/acadia/pet-friendly/477768,Apartment,1600,1,651,1.0,True,True,False,2024-05-07 10:48:27.080461,True,2024-05-07 10:48:27.201137
13,559788,Calgary,Acadia,50.9689371,-114.0682415,/ab/calgary/rentals/basement/2-bedrooms/acadia/non-smoking/559788,Basement,1600,2,900,1.0,False,False,False,2024-05-07 10:48:27.080461,True,2024-05-07 10:48:27.201137
14,484655,Calgary,Acadia,50.9780741,-114.0604617,/ab/calgary/rentals/condo/2-bedrooms/acadia/pet-friendly/484655,Condo Unit,1850,2,770,1.0,True,False,False,2024-05-07 10:48:27.080461,True,2024-05-07 10:48:27.201137
15,564647,Calgary,Acadia,50.9672569,-114.0627814,/ab/calgary/rentals/main-floor/3-bedrooms/acadia/non-smoking/564647,Main Floor,2400,3,1100,1.0,False,False,False,2024-05-07 10:48:27.080461,True,2024-05-07 10:48:27.201137
16,47994,Calgary,Acadia,50.972543,-114.066826,/ab/calgary/rentals/apartment/1-bedroom/acadia/non-smoking/47994,Apartment,1475,0,550,1.0,False,False,False,2024-05-07 10:48:27.080461,True,2024-05-07 10:48:27.201137
