,id,city,community,latitude,longitude,link,type,price,beds,sq_feet,baths,cats,dogs
0,557145,Calgary,Abbeydale,51.151092614766,-113.925916876196,/ab/calgary/rentals/duplex/1-bedroom/abbeydale/short-term/557145,Duplex,700,1,1800,1,0.0,0.0
1,369648,Calgary,Abbeydale,51.0506055,-113.9338583,/ab/calgary/rentals/main-floor/3-bedrooms/abbeydale/pet-friendly/369648,Main Floor,1850,3,1000,1.5,2.0,2.0
2,526000,Calgary,Abbeydale,51.0527896,-113.9275771,/ab/calgary/rentals/basement/1-bedroom/abbeydale/non-smoking/526000,Basement,1300,1,,1,0.0,0.0
3,558719,Calgary,Abbeydale,51.0590188,-113.9305897,/ab/calgary/rentals/main-floor/3-bedrooms/abbeydale/non-smoking/558719,Main Floor,1900,3,1000,1,0.0,0.0
4,553055,Calgary,Abbeydale,51.063149,-113.9295705,/ab/calgary/rentals/house/3-bedrooms/abbeydale/short-term/553055,House,2250,3,,1.5,0.0,0.0
5,510047,Calgary,Acadia,50.9668952,-114.0671346,/ab/calgary/rentals/apartment/2-bedrooms/acadia/pet-friendly/510047,Apartment,1935,2,1140,1,2.0,2.0
6,477768,Calgary,Acadia,50.972184,-114.068623,/ab/calgary/rentals/apartment/1-bedroom/acadia/pet-friendly/477768,Apartment,1610,1,1470,1,2.0,2.0
7,560028,Calgary,Acadia,50.9694186,-114.0651726,/ab/calgary/rentals/main-floor/3-bedrooms/acadia/pet-friendly/560028,Main Floor,2550,3,1509,2,0.0,2.0
8,560038,Calgary,Acadia,50.9694186,-114.0651726,/ab/calgary/rentals/basement/1-bedroom/acadia/pet-friendly/560038,Basement,1500,1,909,1,2.0,2.0
9,559788,Calgary,Acadia,50.9689371,-114.0682415,/ab/calgary/rentals/basement/2-bedrooms/acadia/non-smoking/559788,Basement,1600,2,900,1,0.0,0.0
10,559625,Calgary,Acadia,50.9766274,-114.0650198,/ab/calgary/rentals/main-floor/2-bedrooms/acadia/non-smoking/559625,Main Floor,2000,2,844,1,0.0,0.0
11,559185,Calgary,Acadia,50.9779703,-114.0635469,/ab/calgary/rentals/townhouse/3-bedrooms/acadia/non-smoking/559185,Townhouse,2400,3,,1.5,0.0,0.0
12,134873,Calgary,Acadia,50.965282,-114.044912,/ab/calgary/rentals/basement/4-bedrooms/acadia/furnished/134873,Basement,1000,4,2500,2,0.0,0.0
13,557950,Calgary,Acadia,50.9747624,-114.057332,/ab/calgary/rentals/house/4-bedrooms/acadia/pet-friendly/557950,House,3000,4,2150,3,2.0,2.0
14,548219,Calgary,Acadia,50.9668733,-114.0437788,/ab/calgary/rentals/main-floor/3-bedrooms/acadia/pet-friendly/548219,Main Floor,3200,3,1100,1,2.0,2.0
15,463722,Calgary,Acadia,50.9791036,-114.0647664,/ab/calgary/rentals/condo/3-bedrooms/acadia/non-smoking/463722,Condo Unit,2000,3,,1.5,0.0,0.0
16,385351,Calgary,Acadia,50.9747452,-114.0575177,/ab/calgary/rentals/main-floor/3-bedrooms/acadia/non-smoking/385351,Main Floor,2300,3,1034,1,0.0,0.0
17,559370,Calgary,Acadia,50.9659018,-114.0425135,/ab/calgary/rentals/main-floor/3-bedrooms/acadia/non-smoking/559370,Main Floor,2350,3,1010,2,0.0,0.0
18,47994,Calgary,Acadia,50.972543,-114.066826,/ab/calgary/rentals/apartment/1-bedroom/acadia/non-smoking/47994,Apartment,1375,studio,1050,1,0.0,0.0
19,120244,Calgary,Acadia,50.9702187517,-114.0587063599,/ab/calgary/rentals/house/3-bedrooms/acadia/pet-friendly/120244,House,2500,3,1200,2,0.0,2.0
20,138090,Calgary,Albert Park,51.0403688,-113.9950818,/ab/calgary/rentals/townhouse/2-bedrooms/albert-park/non-smoking/138090,Townhouse,1795,2,"1,000",1,0.0,0.0
21,559134,Calgary,Albert Park,51.0413985,-113.9958407,/ab/calgary/rentals/condo/2-bedrooms/albert-park/pet-friendly/559134,Condo Unit,2250,2+den,750,2,2.0,0.0
22,143556,Calgary,Albert Park,51.0413985,-113.996870668262,/ab/calgary/rentals/condo/2-bedrooms/albert-park/non-smoking/143556,Condo Unit,2150,2+den,900,2,0.0,0.0
23,507903,Calgary,Albert Park,51.0426698,-113.9944503,/ab/calgary/rentals/house/1-bedroom/albert-park/non-smoking/507903,House,650,1,,1,0.0,0.0
24,127705,Calgary,Albert Park,51.0413985,-113.9958407,/ab/calgary/rentals/condo/3-bedrooms/albert-park/pet-friendly/127705,Condo Unit,2300,3,925,2,2.0,0.0
25,141030,Calgary,Albert Park,51.0398289,-113.9993722,/ab/calgary/rentals/basement/2-bedrooms/albert-park/pet-friendly/141030,Basement,1450,2,930,1,2.0,2.0
26,305449,Calgary,Albert Park,51.0413985,-113.9958407,/ab/calgary/rentals/condo/2-bedrooms/albert-park/pet-friendly/305449,Condo Unit,1799,2,720,1,2.0,0.0
27,88780,Calgary,Albert Park,51.042671,-114.000613,/ab/calgary/rentals/house/3-bedrooms/albert-park/non-smoking/88780,House,2290,3,1450 sq ft,1.5,0.0,0.0
28,512352,Calgary,Alpine Park,50.9170922,-114.1496574,/ab/calgary/rentals/townhouse/3-bedrooms/alpine-park/non-smoking/512352,Townhouse,2450,3,1650,2.5,0.0,0.0
29,559473,Calgary,Alpine Park,50.919531936513,-114.141602138623,/ab/calgary/rentals/basement/2-bedrooms/alpine-park/non-smoking/559473,Basement,2300,2,1000,1,0.0,0.0
30,559745,Calgary,Alpine Park,50.9177379,-114.1426639,/ab/calgary/rentals/house/3-bedrooms/alpine-park/non-smoking/559745,House,3100,3,1865,2.5,0.0,0.0
31,553148,Calgary,Alpine Park,50.9186554,-114.155274,/ab/calgary/rentals/house/4-bedrooms/alpine-park/non-smoking/553148,House,2950,4,2050,2.5,0.0,0.0
32,545650,Calgary,Alpine Park,50.9178464,-114.1418612,/ab/calgary/rentals/house/3-bedrooms/alpine-park/non-smoking/545650,House,3299,3+den,1843,2.5,0.0,0.0
33,559254,Calgary,Alpine Park,50.9170932,-114.1496461,/ab/calgary/rentals/townhouse/3-bedrooms/alpine-park/pet-friendly/559254,Townhouse,2495,3+den,1600,2.5,0.0,2.0
