,id,city,community,latitude,longitude,link,type,price,beds,sq_feet,baths,cats,dogs,has_den,last_update,is_active,activation_date
0,369648,Calgary,Abbeydale,51.0506055,-113.9338583,/ab/calgary/rentals/main-floor/3-bedrooms/abbeydale/pet-friendly/369648,Main Floor,1899,3,,1.5,True,True,False,2023-12-30 17:44:14.636361,True,2023-12-30 17:44:14.641347
1,351601,Calgary,Abbeydale,51.066042,-113.933046,/ab/calgary/rentals/house/4-bedrooms/abbeydale/pet-friendly/351601,House,2100,4,,2.0,True,False,False,2023-12-30 17:44:14.636361,True,2023-12-30 17:44:14.641347
2,25581,Calgary,Abbeydale,51.05664,-113.92869,/ab/calgary/rentals/main-floor/2-bedrooms/abbeydale/non-smoking/25581,Main Floor,1795,2,,1.0,False,False,False,2023-12-30 17:44:14.636361,True,2023-12-30 17:44:14.641347
3,314224,Calgary,Abbeydale,50.881859,-114.0776956,/ab/calgary/rentals/apartment/1-bedroom/abbeydale/non-smoking/314224,Apartment,1900,1,,1.0,False,False,False,2023-12-30 17:44:14.636361,True,2023-12-30 17:44:14.641347
4,552592,Calgary,Abbeydale,51.065674,-113.6457328,/ab/calgary/rentals/storage/abbeydale/non-smoking/552592,Storage,4500,,,0.0,False,False,False,2023-12-30 17:44:14.636361,True,2023-12-30 17:44:14.641347
5,510047,Calgary,Acadia,50.9668952,-114.0671346,/ab/calgary/rentals/apartment/2-bedrooms/acadia/pet-friendly/510047,Apartment,2015,2,,1.0,True,True,False,2023-12-30 17:44:14.636361,True,2023-12-30 17:44:14.641347
6,536018,Calgary,Acadia,50.9733052,-114.0537186,/ab/calgary/rentals/main-floor/2-bedrooms/acadia/pet-friendly/536018,Main Floor,2600,2,,1.0,True,True,False,2023-12-30 17:44:14.636361,True,2023-12-30 17:44:14.641347
7,552331,Calgary,Acadia,50.9680394,-114.0631533,/ab/calgary/rentals/shared/1-bedroom/acadia/non-smoking/552331,Room For Rent,1100,1,,1.0,False,False,False,2023-12-30 17:44:14.636361,True,2023-12-30 17:44:14.641347
8,551304,Calgary,Acadia,50.9667075,-114.0469306,/ab/calgary/rentals/main-floor/3-bedrooms/acadia/pet-friendly/551304,Main Floor,2000,3,,1.0,True,True,False,2023-12-30 17:44:14.636361,True,2023-12-30 17:44:14.641347
9,477768,Calgary,Acadia,50.972184,-114.068623,/ab/calgary/rentals/apartment/1-bedroom/acadia/pet-friendly/477768,Apartment,1600,1,,1.0,True,True,False,2023-12-30 17:44:14.636361,True,2023-12-30 17:44:14.641347
